day,time,Talaso,Gimnasio
friday,07:30,0.0,0.0
friday,08:00,0.0,45.0
friday,08:30,0.0,55.5
friday,09:00,4.5,55.5
friday,09:30,39.0,56.0
friday,10:00,64.5,58.5
friday,10:30,71.16666666666667,65.66666666666667
friday,11:00,87.5,75.5
friday,11:30,102.16666666666667,85.0
friday,12:00,113.33333333333333,84.66666666666667
friday,12:30,118.0,88.33333333333333
friday,13:00,113.0,82.5
friday,13:30,91.83333333333333,74.33333333333333
friday,14:00,76.5,60.833333333333336
friday,14:30,65.66666666666667,51.166666666666664
friday,15:00,60.333333333333336,41.333333333333336
friday,15:30,63.666666666666664,47.166666666666664
friday,16:00,76.83333333333333,60.666666666666664
friday,16:30,95.83333333333333,74.66666666666667
friday,17:00,115.0,83.33333333333333
friday,17:30,132.66666666666666,89.66666666666667
friday,18:00,144.83333333333334,81.0
friday,18:30,145.5,87.83333333333333
friday,19:00,144.66666666666666,94.5
friday,19:30,134.0,94.0
friday,20:00,123.5,87.33333333333333
friday,20:30,106.66666666666667,77.33333333333333
friday,21:00,85.66666666666667,68.16666666666667
friday,21:30,64.83333333333333,61.333333333333336
friday,22:00,38.0,46.666666666666664
friday,22:30,5.833333333333333,25.666666666666668
monday,08:00,0.0,34.0
monday,08:30,0.0,42.0
monday,09:00,1.0,51.0
monday,09:30,34.0,63.0
monday,10:00,54.8,59.2
monday,10:30,75.2,63.4
monday,11:00,92.6,75.4
monday,11:30,101.8,84.4
monday,12:00,109.6,85.4
monday,12:30,107.66666666666667,95.83333333333333
monday,13:00,98.0,94.33333333333333
monday,13:30,87.0,82.5
monday,14:00,75.33333333333333,69.0
monday,14:30,65.0,59.666666666666664
monday,15:00,57.166666666666664,48.666666666666664
monday,15:30,61.666666666666664,48.333333333333336
monday,16:00,73.16666666666667,58.166666666666664
monday,16:30,83.16666666666667,75.0
monday,17:00,102.33333333333333,87.0
monday,17:30,119.16666666666667,101.5
monday,18:00,134.0,106.33333333333333
monday,18:30,141.0,116.83333333333333
monday,19:00,146.5,123.0
monday,19:30,150.16666666666666,119.83333333333333
monday,20:00,144.83333333333334,119.66666666666667
monday,20:30,130.5,107.5
monday,21:00,97.33333333333333,95.5
monday,21:30,60.833333333333336,79.5
monday,22:00,28.166666666666668,56.833333333333336
monday,22:30,0.6666666666666666,31.666666666666668
saturday,09:30,6.5,0.0
saturday,10:00,32.166666666666664,30.333333333333332
saturday,10:30,50.666666666666664,48.333333333333336
saturday,11:00,75.33333333333333,64.16666666666667
saturday,11:30,92.0,73.5
saturday,12:00,120.16666666666667,80.16666666666667
saturday,12:30,139.83333333333334,92.16666666666667
saturday,13:00,143.16666666666666,88.5
saturday,13:30,132.0,76.66666666666667
saturday,14:00,106.33333333333333,61.166666666666664
saturday,14:30,77.33333333333333,39.166666666666664
saturday,15:00,61.666666666666664,21.5
saturday,15:30,63.0,32.0
saturday,16:00,68.0,35.0
saturday,16:30,91.5,37.0
saturday,17:00,127.5,38.0
saturday,17:30,162.0,46.0
saturday,18:00,178.0,51.0
saturday,18:30,197.5,50.0
saturday,19:00,175.5,49.0
saturday,19:30,158.5,52.5
saturday,20:00,139.5,47.0
saturday,20:30,100.5,36.0
saturday,21:00,30.0,17.0
sunday,09:30,0.0,0.0
sunday,10:00,18.0,18.5
sunday,10:30,43.0,38.0
sunday,11:00,85.5,45.5
sunday,11:30,144.5,53.5
sunday,12:00,193.0,68.0
sunday,12:30,230.0,64.0
sunday,13:00,251.0,68.0
sunday,13:30,225.5,57.5
sunday,14:00,167.0,45.0
sunday,14:30,96.0,30.0
sunday,15:00,28.5,7.0
thursday,07:30,0.0,0.0
thursday,08:00,0.0,42.0
thursday,08:30,0.0,50.0
thursday,09:00,5.0,50.0
thursday,09:30,32.666666666666664,53.166666666666664
thursday,10:00,49.333333333333336,63.0
thursday,10:30,60.833333333333336,78.0
thursday,11:00,82.66666666666667,84.16666666666667
thursday,11:30,102.8,83.8
thursday,12:00,105.83333333333333,93.16666666666667
thursday,12:30,99.83333333333333,95.33333333333333
thursday,13:00,95.5,89.83333333333333
thursday,13:30,84.83333333333333,78.66666666666667
thursday,14:00,77.2,63.8
thursday,14:30,59.166666666666664,55.833333333333336
thursday,15:00,50.5,45.666666666666664
thursday,15:30,51.833333333333336,50.333333333333336
thursday,16:00,66.16666666666667,63.0
thursday,16:30,82.0,78.5
thursday,17:00,102.0,91.33333333333333
thursday,17:30,120.16666666666667,96.83333333333333
thursday,18:00,137.83333333333334,103.83333333333333
thursday,18:30,138.16666666666666,108.5
thursday,19:00,143.33333333333334,121.5
thursday,19:30,150.0,125.5
thursday,20:00,143.66666666666666,115.16666666666667
thursday,20:30,136.5,102.5
thursday,21:00,112.5,93.33333333333333
thursday,21:30,83.16666666666667,72.33333333333333
thursday,22:00,43.333333333333336,47.666666666666664
thursday,22:30,4.5,25.666666666666668
tuesday,07:30,0.0,0.0
tuesday,08:00,0.0,50.0
tuesday,08:30,0.0,58.0
tuesday,09:00,3.0,53.0
tuesday,09:30,35.5,58.333333333333336
tuesday,10:00,51.666666666666664,67.5
tuesday,10:30,63.5,79.33333333333333
tuesday,11:00,84.5,104.66666666666667
tuesday,11:30,93.33333333333333,112.33333333333333
tuesday,12:00,100.16666666666667,109.16666666666667
tuesday,12:30,93.5,100.5
tuesday,13:00,94.5,97.5
tuesday,13:30,83.16666666666667,88.5
tuesday,14:00,71.5,71.16666666666667
tuesday,14:30,63.5,59.833333333333336
tuesday,15:00,53.166666666666664,52.5
tuesday,15:30,58.666666666666664,57.0
tuesday,16:00,68.16666666666667,73.16666666666667
tuesday,16:30,91.33333333333333,88.5
tuesday,17:00,113.83333333333333,96.83333333333333
tuesday,17:30,132.66666666666666,106.33333333333333
tuesday,18:00,148.83333333333334,104.0
tuesday,18:30,151.83333333333334,113.83333333333333
tuesday,19:00,162.16666666666666,125.83333333333333
tuesday,19:30,163.33333333333334,129.0
tuesday,20:00,166.66666666666666,128.0
tuesday,20:30,140.5,120.33333333333333
tuesday,21:00,111.0,102.16666666666667
tuesday,21:30,79.0,81.83333333333333
tuesday,22:00,41.6,53.4
tuesday,22:30,8.5,34.0
wednesday,07:30,0.0,0.0
wednesday,08:00,0.0,45.5
wednesday,08:30,0.0,49.5
wednesday,09:00,4.5,52.5
wednesday,09:30,31.0,61.333333333333336
wednesday,10:00,58.5,68.5
wednesday,10:30,74.0,77.16666666666667
wednesday,11:00,90.0,87.16666666666667
wednesday,11:30,94.16666666666667,106.16666666666667
wednesday,12:00,103.83333333333333,114.5
wednesday,12:30,94.0,111.5
wednesday,13:00,87.33333333333333,104.5
wednesday,13:30,69.83333333333333,91.33333333333333
wednesday,14:00,59.833333333333336,74.5
wednesday,14:30,49.833333333333336,61.166666666666664
wednesday,15:00,50.666666666666664,51.5
wednesday,15:30,53.0,53.833333333333336
wednesday,16:00,63.5,65.66666666666667
wednesday,16:30,74.5,80.0
wednesday,17:00,102.16666666666667,95.33333333333333
wednesday,17:30,117.83333333333333,106.5
wednesday,18:00,136.66666666666666,106.16666666666667
wednesday,18:30,140.83333333333334,119.33333333333333
wednesday,19:00,153.33333333333334,126.66666666666667
wednesday,19:30,157.83333333333334,123.5
wednesday,20:00,158.16666666666666,119.83333333333333
wednesday,20:30,139.66666666666666,112.83333333333333
wednesday,21:00,107.66666666666667,101.16666666666667
wednesday,21:30,76.66666666666667,84.83333333333333
wednesday,22:00,38.5,58.666666666666664
wednesday,22:30,2.5,32.833333333333336
